id_num,id,state,lastLocationUpdate,lastStateChange,batteryLevel,lat,lng,zoneId,code,licencePlate,isRentable,max_lev,geometry
6653,63196ba3-7de7-4996-908c-57a88bf8a6d0,ACTIVE,2020-06-11 22:29:52+00:00,2020-06-09 20:51:31+00:00,67.0,49.405461,8.687132,HEIDELBERG,123842,390WUG,,20.0,POINT (8.687132 49.405461)
6654,647bbf17-c22b-481b-ad95-52e8bd3295f2,ACTIVE,2020-06-11 22:29:07+00:00,2020-06-10 19:52:25+00:00,68.0,49.411419,8.696712,HEIDELBERG,124445,118WSD,1,20.0,POINT (8.696712 49.411419)
6655,85b08c69-8970-4f36-830a-545fb058ad27,ACTIVE,2020-06-11 22:23:12+00:00,2020-06-08 19:52:20+00:00,75.0,49.432729,8.527536,MANNHEIM-LUDWIGSHAFEN,123344,551WUG,1,20.0,POINT (8.527536 49.432729)
6656,87743bb7-3d8c-4183-a329-8cd013040fff,ACTIVE,2020-06-11 22:23:25+00:00,2020-06-06 19:51:54+00:00,41.0,49.406938,8.678744,HEIDELBERG,117372,531WVI,1,20.0,POINT (8.678744 49.406938)
6657,9f28eb7e-364d-4320-8cb4-fc2305d73499,ACTIVE,2020-06-11 22:28:28+00:00,2020-06-11 19:52:16+00:00,51.0,49.466583,8.454922,MANNHEIM-LUDWIGSHAFEN,124693,375WSD,1,20.0,POINT (8.454922 49.466583)
6658,29033ee2-d952-49bb-a970-170b1ba0384e,ACTIVE,2020-06-11 22:25:53+00:00,2020-06-10 19:52:40+00:00,37.0,49.462011,8.433061,MANNHEIM-LUDWIGSHAFEN,119480,552WUG,1,20.0,POINT (8.433061 49.462011)
6659,2ffdd72b-3e50-4a4b-b8a2-bb4337f1082e,ACTIVE,2020-06-11 22:27:45+00:00,2020-06-07 19:52:14+00:00,71.0,49.447082,8.505866,MANNHEIM-LUDWIGSHAFEN,125334,192WUI,1,20.0,POINT (8.505865999999999 49.447082)
6660,6792f182-d5ee-4e69-85c0-38170dd1d0ec,ACTIVE,2020-06-11 22:29:28+00:00,2020-06-06 19:52:00+00:00,46.0,49.472016,8.467074,MANNHEIM-LUDWIGSHAFEN,125663,762WSD,1,20.0,POINT (8.467074 49.472016)
6661,3d2fa02d-fed0-42cc-90e1-346f86e9fda2,ACTIVE,2020-06-11 22:24:14+00:00,2020-06-10 19:52:25+00:00,22.0,49.417998,8.688704,HEIDELBERG,116639,734WUI,1,20.0,POINT (8.688704 49.417998)
6662,8291106c-dbca-4a5e-b8bf-050f47f26a10,ACTIVE,2020-06-11 22:21:29+00:00,2020-06-08 19:52:20+00:00,69.0,49.477172,8.477982,MANNHEIM-LUDWIGSHAFEN,124922,369WSD,1,20.0,POINT (8.477982000000001 49.477172)
6663,d14a4480-b73a-4d0e-9ca1-ab85b212f65b,ACTIVE,2020-06-11 22:24:54+00:00,2020-06-11 19:52:16+00:00,76.0,49.474201,8.541253,MANNHEIM-LUDWIGSHAFEN,120756,538WUG,1,20.0,POINT (8.541252999999999 49.474201)
6664,2e6f8ca2-a54a-43fd-a785-e6fa8d329031,ACTIVE,2020-06-11 22:27:34+00:00,2020-06-11 19:52:16+00:00,56.0,49.474235,8.54135,MANNHEIM-LUDWIGSHAFEN,123726,868WUI,1,20.0,POINT (8.54135 49.474235)
6665,58cdfbde-801c-416c-afa7-1d0b228960e2,ACTIVE,2020-06-11 22:28:21+00:00,2020-06-09 20:52:37+00:00,86.0,49.475296,8.471941,MANNHEIM-LUDWIGSHAFEN,121776,316WVI,1,20.0,POINT (8.471940999999999 49.475296)
6666,fd008838-cda0-48df-91cf-ac3df3261727,ACTIVE,2020-06-11 22:38:02+00:00,2020-06-09 20:52:37+00:00,26.0,49.476429,8.446508,MANNHEIM-LUDWIGSHAFEN,116441,483WSD,1,20.0,POINT (8.446508 49.476429)
6667,1a217fad-1b21-4b49-a3c8-a69e7ced52cc,ACTIVE,2020-06-11 22:40:09+00:00,2020-06-08 19:52:20+00:00,21.0,49.475365,8.447479,MANNHEIM-LUDWIGSHAFEN,111502,926WSD,1,20.0,POINT (8.447479 49.475365)
6668,48d5fc81-71ff-4bc0-afa9-e68f2d28ba1b,ACTIVE,2020-06-11 22:41:02+00:00,2020-06-10 19:52:40+00:00,59.0,49.469135,8.44815,MANNHEIM-LUDWIGSHAFEN,118275,430WUG,1,20.0,POINT (8.44815 49.469135)
6669,be2dfcef-63d1-49d8-b4f6-067021677b9f,ACTIVE,2020-06-11 22:43:38+00:00,2020-06-11 19:52:16+00:00,84.0,49.510827,8.470568,MANNHEIM-LUDWIGSHAFEN,122271,377WUG,1,20.0,POINT (8.470568 49.510827)
6670,577d551f-8ee3-4b0a-87c2-60b84b8f34ab,ACTIVE,2020-06-11 22:35:33+00:00,2020-06-10 19:52:40+00:00,50.0,49.505787,8.469073,MANNHEIM-LUDWIGSHAFEN,124035,178WUI,1,20.0,POINT (8.469073 49.505787)
6671,45534091-1bbc-412e-8e4e-c975d2dbfcbe,ACTIVE,2020-06-11 22:42:36+00:00,2020-06-09 20:52:37+00:00,41.0,49.504533,8.470589,MANNHEIM-LUDWIGSHAFEN,121036,634WUI,1,20.0,POINT (8.470589 49.504533)
6672,07bd3037-0c34-4f54-a068-f0a99ca15167,ACTIVE,2020-06-11 22:44:24+00:00,2020-06-09 20:51:31+00:00,57.0,49.378709,8.675369,HEIDELBERG,118030,136WUI,1,20.0,POINT (8.675369 49.378709)
6673,f77cadec-bb6b-4bb4-9ade-6ab13f0896f2,ACTIVE,2020-06-11 22:40:00+00:00,2020-06-09 20:52:37+00:00,58.0,49.454982,8.507792,MANNHEIM-LUDWIGSHAFEN,118642,419WVI,1,20.0,POINT (8.507792 49.454982)
6674,76db0642-be94-47d3-bbcb-bce8c0954b55,ACTIVE,2020-06-11 22:35:37+00:00,2020-06-10 19:52:25+00:00,78.0,49.435162,8.680623,HEIDELBERG,124118,584WUG,1,20.0,POINT (8.680623000000001 49.435162)
